name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
LUNA,DOG,CHIHUAHUA SH,2,15,1,1,0
GABBIE,CAT,DOMESTIC SH,2,53,1,0,0
*WILMUR,DOG,CAVALIER SPAN/MIX,2,22,1,0,0
*AUDREY,DOG,SIBERIAN HUSKY,4,86,1,1,1
TANK,DOG,PIT BULL,3,2,0,1,0
KODAK,DOG,BORDER COLLIE,4,0,0,0,0
*ASH,DOG,POODLE MIN/MIX,2,59,1,1,1
TURKS,DOG,LABRADOR RETR/MALTESE,3,11,1,1,1
RED,DOG,LABRADOR RETR/MIX,4,1,0,1,0
*COLIN,DOG,GERM SHEPHERD/LABRADOR RETR,3,75,1,1,1
MIA,DOG,PIT BULL/MIX,3,70,1,1,0
*TYLER CHILDERS,CAT,DOMESTIC SH,3,47,1,1,1
DEAMON,DOG,GERM SHEPHERD,3,5,0,0,0
*ALEXIS,CAT,DOMESTIC SH,1,76,1,1,1
*DOUG,CAT,DOMESTIC SH,2,14,1,1,1
CASH,DOG,PIT BULL,3,2,0,0,0
*EDISON,CAT,DOMESTIC SH,2,14,1,1,1
TADO,CAT,DOMESTIC SH,2,28,0,1,1
BUTTERFLY,CAT,DOMESTIC SH,1,41,1,1,1
*GATSBY,DOG,AUST CATTLE DOG,3,238,1,1,1
*MARTY,DOG,GERM SHEPHERD/MIX,3,62,1,1,1
*JACK,DOG,GERM SHEPHERD/MIX,2,42,1,1,1
*CAESAR,CAT,DOMESTIC SH,1,3704,1,1,1
AZUL,DOG,AUST CATTLE DOG,3,1,0,0,0
LUNA,DOG,CHIHUAHUA SH,2,0,1,0,0
BOOMER,DOG,GERM SHEPHERD/PIT BULL,4,3,0,0,0
RAYITAS AKA *MITZY,CAT,DOMESTIC SH,1,44,1,1,1
WILLOW,DOG,SHIH TZU,2,1,0,0,0
KENZIE,DOG,POODLE MIN/MIX,2,1,1,1,0
RYDER,DOG,PIT BULL/MIX,4,1,0,1,0
SASHA,DOG,DACHSHUND LH,1,12,0,1,0
BOOMER,DOG,GERM SHEPHERD/PIT BULL,4,1,1,0,0
BUTTERFLY,CAT,DOMESTIC SH,1,0,1,1,1
CHESTER,CAT,DOMESTIC SH,2,3,1,1,1
ROSIE,DOG,DACHSHUND LH,1,12,0,1,0
GRACIE,DOG,GERM SHEPHERD,3,0,1,0,0
SHAWNNEY,CAT,DOMESTIC SH,2,13,0,0,0
MANGO,DOG,LABRADOR RETR,3,1,1,0,0
ZEUS,DOG,GERM SHEPHERD/SIBERIAN HUSKY,4,2,0,1,0
LULU,DOG,YORKSHIRE TERR/MIX,1,1,0,0,0
ELLA,CAT,DOMESTIC SH,1,2,0,1,1
MANGO,DOG,LABRADOR RETR,3,0,1,0,0
KODA,DOG,AKITA,3,0,0,0,0
RANGER,DOG,GOLDEN RETR/MIX,3,0,1,1,0
*MOUSE,CAT,DOMESTIC MH,2,22,1,1,1
*RACHEAL,DOG,LABRADOR RETR/MIX,1,44,1,1,1
*CLEO,CAT,DOMESTIC SH,1,45,1,1,1
MANGO,DOG,LABRADOR RETR,3,1,0,0,0
*CASSIE,DOG,AM PIT BULL TER/MIX,1,76,1,1,0
LUNA,DOG,GERM SHEPHERD,3,3,0,1,0
*TANG,CAT,DOMESTIC SH,1,71,1,1,1
*STEVIE,DOG,PARSON RUSS TER/MIX,2,60,1,1,0
PETUNIA,DOG,PIT BULL/MIX,4,1,0,1,0
*TIMBER,DOG,SIBERIAN HUSKY/MIX,2,82,1,1,0
PHEONIX,DOG,PIT BULL,3,1,0,1,0
BOFO,DOG,GERM SHEPHERD/MIX,3,0,0,0,0
*SWEETIE,OTHER,RABBIT SH,2,59,1,0,0
MANDY,DOG,DOBERMAN PINSCH,4,13,0,0,0
*YEDINA,CAT,DOMESTIC SH,1,63,1,1,1
*NADINE,CAT,DOMESTIC SH,1,54,1,1,1
KAI,DOG,SIBERIAN HUSKY,4,10,0,0,0
COOKIE,DOG,PIT BULL,3,67,0,0,0
BAILEY,DOG,AM PIT BULL TER,4,26,0,1,0
WAYNE,DOG,PATTERDALE TERR/BULL TERR MIN,3,1,1,1,0
